chr,nJunction,nCDS,nUTR3,nUTR5,nUTR_,nIntron
1,9099,29234,333,435,535,839
2,14517,40194,595,894,2269,816
3,7289,21077,258,473,518,569
4,8703,24095,414,482,1206,2542
5,10052,27625,655,504,977,678
6,8791,21350,324,399,788,847
7,12856,30883,411,829,718,677
8,7460,20780,278,379,913,612
9,9503,24865,362,339,600,3883
10,8364,23323,275,355,386,826
11,17180,41778,773,608,1165,923
12,7957,20449,260,784,243,634
13,4596,14799,160,290,243,688
14,5857,15746,182,260,508,450
15,6606,17268,332,266,299,698
16,5647,14948,265,196,719,397
17,6741,19088,721,288,616,619
18,5731,14741,180,250,178,438
19,4335,12054,186,271,265,338
X,6195,21973,469,382,582,458
Y,0,2,0,0,0,0
Total,167479,456272,7433,8684,13728,17932
